"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"mye_77","CD79A","MZB1","MS4A1","DERL3","JCHAIN","POU2AF1","CD79B","IGHM","ISG20","SEL1L3","VPREB3","GNG7","CD27","IGHA1","IGHA2","BANK1","TPD52","TCF4","FKBP11","COBLL1","RALGPS2","ITM2C","TNFRSF17","TSPAN13","FCRL5","LY9","MEF2C","BLNK","TP53INP1","RAB30","PLPP5","TNFRSF13C","SEC11C","CD19","TCL1A","BLK","TNFRSF13B","PRDX4","PIM2","IGLC2","ST6GAL1","SLC38A1","TMEM243","IGLC3","CPNE5","ICAM3","CD22","FCMR","RHOH","PRDM1"
"mye_84","MKI67","BIRC5","CENPF","CDKN3","TROAP","TPX2","CDC20","UBE2C","PTTG1","TOP2A","HMMR","PLK1","AURKB","HMGB3","CDCA3","NUSAP1","CENPE","GTSE1","ASPM","CKS1B","NCAPD2","CEP55","DLGAP5","CCNA2","KIF2C","GGH","PHF19","CDC25B","KIF23","CDCA8","HIST1H1B","MAD2L1","RACGAP1","FOXM1","CENPA","HIST1H2BH","DTYMK","KIFC1","KIF4A","CENPN","PRC1","ANLN","SPAG5","CENPW","NUF2","CKAP2L","TK1","ZWINT","KIF11","AURKA"
"stromal_1","B2M","FTH1","ACTB","FTL","VIM","MALAT1","IFITM3","LGALS1","CALD1","IGFBP7","TIMP1","CALM2","DDX5","JUNB","OAZ1","FOS","S100A11","DSTN","JUN","GSTP1","NEAT1","SPARC","IFITM2","ZFP36","COL6A2","COX7A2","COX6C","GSN","TAGLN2","ITGB1","ANXA5","NDUFS5","MYL9","ANXA2","CLIC1","TUBA1B","LDHA","DUSP1","EIF4A2","HNRNPK","SERPING1","CNN3","IER2","TPM1","SEPT7","TXN","LGALS3","COL1A2","SEC61G","TUBA1A"
"stromal_2","IFITM1","DDOST","DAZAP2","HM13","TNFRSF1A","PHB2","NUCB1","COL5A2","HNRNPF","CNN2","SERPINH1","PLTP","ITM2C","CALU","PLPP1","TMEM179B","LGALS3BP","CTSL","HIF1A","PCOLCE","CANX","DNAJB1","CNIH1","UBXN4","LAMA4","GNG5","FSTL1","LITAF","SQSTM1","AUP1","XRCC6","NID1","CTSA","GGT5","EFEMP2","CD164","APP","EWSR1","SERPING1","FKBP10","ANXA6","AEBP1","LDHB","MXRA8","STOM","PPP1R15A","RAN","BRD2","CRISPLD2","TSPAN4"
"stromal_3","THBS2","CTHRC1","COL8A1","FAP","MFAP2","INHBA","SULF1","COL12A1","CHPF","BGN","DPYSL3","PLXDC2","CDH11","RAB31","MXRA5","VCAN","RCN3","ANTXR1","PDPN","POSTN","MARCKS","PRRX1","ISLR","COL5A1","LUM","PALLD","MMP2","SPON2","TAGLN","MRC2","S100A16","PDLIM5","PLOD2","FBLN2","CERCAM","DCN","COL6A3","IL32","CNN2","CTSK","FBLN1","MMP14","SPATS2L","FBN1","LTBP1","GPX8","COL16A1","THY1","LRP1","PDGFRB"
"stromal_4","COL4A1","HTRA1","VWA1","LAMA4","COL4A2","COL18A1","INSR","ETS1","COL15A1","ITGA5","MCAM","MARCKSL1","MMP2","MAP1B","PXDN","SERPINE1","PLXND1","LAMC1","MARCKS","FLNA","HIF1A","SERPINH1","FSTL1","SOX4","RAI14","APLP2","FSCN1","AKAP13","RGCC","LAMB1","C1orf54","TGM2","CALCRL","ELK3","SYNPO","NID1","DOCK6","YWHAH","GNAS","EMP1","PNP","ECE1","PCDH17","WWTR1","ADAMTS9","DOCK9","RGS3","UPP1","SPRY1","LGALS1"
"stromal_5","NANS","TNFRSF12A","TUBA1C","TXNDC17","CCT5","MRPS12","MRPL13","IKBIP","SRA1","IMP4","ARPC5L","PSMC4","PPP4C","EIF4E2","SNRPD1","MRPL52","EIF6","PHLDA2","SDF2L1","MANF","DCUN1D5","MRPL27","TIMM8B","HSD17B10","MRPS15","UBE2N","EIF4EBP1","GARS","C1QBP","MED8","GOLT1B","BOLA3","NME1","GNL3","CCT3","ALG3","VASP","PLIN3","SNRPB2","CCT8","ATP6V1D","MAGOHB","TRAPPC4","MRPS23","FKBP3","NAA20","PSMD13","UBE2V2","MRPL4","CYTOR"
"stromal_6","SSPN","SCPEP1","NEXN","MXRA8","PRNP","MFAP4","CPQ","DDAH2","CCDC80","CYBRD1","NUPR1","RERG","RTN3","SGCE","EPHX1","C1S","LGALS3BP","BLVRB","LRP1","OLFML3","GYPC","C1orf21","ASAH1","IMPDH2","FGF7","CRISPLD2","FUNDC2","GSTM3","PBX1","ISLR","FXYD6","ALDH2","HEXB","RARRES2","TMBIM1","HIST1H4C","MGP","TMEM98","RAB34","CD9","NFIA","GEM","TMEM109","SRPX","BEX4","CTSL","PLPP1","CTSF","SNX2","ANXA4"
"stromal_7","RAMP2","CD74","VWF","CLDN5","HLA.DRB1","TM4SF1","PLVAP","RNASE1","EGFL7","SRGN","FABP5","RAMP3","CLEC14A","HLA.DRA","CAV1","IFI27","HLA.DPA1","GNG11","EMCN","BCAM","CRIP2","TGFBR2","S100A10","GIMAP4","SPARCL1","ENG","HLA.DPB1","S100A16","GIMAP7","JAM2","IGFBP4","NPDC1","ITM2A","B2M","IFITM3","EPAS1","MGST2","ADGRL4","ICAM2","ACTB","FTH1","IGFBP7","A2M","ESAM","IFITM2","MALAT1","VIM","FTL","CD93","NFIB"
"stromal_8","FBLN1","LUM","EMILIN1","VCAN","CEBPB","DCN","CYGB","MMP2","C11orf96","SPON2","CTSK","TMEM176A","MEG3","TMEM176B","NBL1","CTSC","CYBA","TGFBI","TYMP","PLAU","CLEC11A","COL5A1","PDGFRA","COL6A3","C4orf48","SOD2","PHLDA1","PLAT","KRT10","PDPN","SERPINF1","CDH11","PRELID1","C1R","F3","FOXF1","PTMS","SOCS3","RUNX1","DKK3","CXCL14","RCN2","MXRA5","YBX3","SOX4","RHOBTB3","PCOLCE","ZFP36L2","GGT5","CEBPD"
"stromal_9","NOTCH3","NDUFA4L2","RGS5","CHCHD10","HES4","PDGFRB","TPPP3","PPP1R14A","SEPT4","FRZB","CPE","NR2F2","MCAM","MEF2C","C11orf96","COX4I2","MAP1B","TINAGL1","EBF1","SOD3","CSRP2","EPS8","MYO1B","ANGPT2","CYTOR","PLXDC1","ITGA1","TBX2","ARHGAP15","MYLK","LURAP1L","EDNRA","GJA4","CRIP1","RGS16","ID4","IGFBP2","PGF","KCNJ8","INAFM1","PTK2","SDC2","CPM","ACTA2","BGN","JAG1","CCDC3","GJC1","ARHGDIB","CDH6"
"stromal_10","TMEM35B","WBP1","TM9SF1","DNAJC25.GNG10","POLD4","MAN2B1","RAB24","TVP23B","ZGPAT","ABHD16A","ACOT2","ADSL","MAT2B","RNASE4","SMARCE1","DHRS4","DPH1","HAUS4","ATG9A","TIMM23","COX16","PSMB10","MFSD1","FAM96A","STT3A","LMBRD1","FDFT1","PLSCR3","CLIP3","BSCL2","GLMP","SHMT2","PGD","RAD50","PTDSS1","TMBIM1","WLS","OXA1L","CYP51A1","HBP1","RBBP4","TMX1","THOC3","C5orf51","SF3A1","WASHC1","GPS1","PEX11B","JKAMP","ELOVL5"
"stromal_11","LSAMP","CCL11","CH25H","CXCL14","ITIH5","MOXD1","CD82","CXCL1","CTSH","TGM2","IL15RA","WNT2B","PDPN","ALDH1A3","ADAMDEC1","CPZ","PAG1","CTSS","AGT","ICAM1","SMPDL3A","FENDRR","SGIP1","CPXM1","C3","CFB","FIBIN","EDNRB","MCTP2","CFD","WNT5A","FRZB","IL34","PTGES","SLC7A7","PCDH18","UGCG","MSC","LTBP2","ABCC4","ETS2","CPED1","VCAM1","F2R","SLC46A3","ISG20","ROBO1","PROCR","WARS","VASN"
"stromal_12","GJA4","NDUFA4L2","RGS5","NOTCH3","COX4I2","ARHGDIB","ESAM","HEYL","MCAM","SEPT4","EDNRA","ISYNA1","TINAGL1","FAM162B","PPP1R14A","HIGD1B","EPS8","ANGPT2","GPR4","EGFLAM","ADGRF5","ADAMTS4","MAP1B","BCAM","PDGFRB","MYO1B","ENPEP","OLFML2B","FBLIM1","CPM","PTP4A3","CSRP2","ARHGAP15","ARHGAP29","FAM13C","CD248","EPAS1","FRZB","KCNE4","CDH6","ADAMTS1","INPP4B","JAG1","CYTOR","MYLK","SMOC2","CAV1","C1QTNF1","KCNJ8","RGS16"
"stromal_13","ADAMDEC1","HAPLN1","ADAM28","SCARA5","ABCA8","CCL13","APOE","ADH1B","CFD","FABP5","CXCL14","CP","GPX3","EDIL3","STMN2","MATN2","FABP4","PPP1R14A","WNT2B","SFRP1","LSP1","CCL8","TFPI2","COL15A1","HAAO","PLAC9","CXCL1","TNXB","ABCA6","BASP1","CXCL12","ITIH5","TM4SF1","PTN","CHL1","BMP4","GRK5","ACVRL1","FGFR4","APOC1","NEGR1","CRYBG3","PTGER4","FBLN5","SMPDL3A","CD302","CYGB","PDK4","PCDH7","KLF4"
"stromal_14","PLPP4","COL10A1","COL11A1","ADAM12","ARL4C","GJB2","GREM1","SDC1","SPOCK1","SFRP2","PODNL1","HOPX","LRRC15","SPHK1","SPECC1","PDGFC","WNT2","COL15A1","OLFML2B","BHLHE41","PERP","PRRX1","NOX4","GAS1","FBLN2","BASP1","MAFB","EPDR1","CLMP","KLRD1","BCAT1","C1QTNF6","KIAA1217","ADAMTS12","FBXO32","NRP2","ADAMTS2","SFRP4","GJA1","MICAL2","ST6GALNAC5","BNC2","RUNX2","NOTCH3","POSTN","GOLM1","MMP11","KIF26B","NTM","RIN2"
"stromal_15","MRVI1","LURAP1L","BMP4","FAT4","ITGA1","COL9A1","FRY","ROBO2","SLC6A6","LIMS2","ACTG2","MMP11","PCDH7","LMO7","CPZ","FRZB","RFTN1","TNS3","COL11A1","PDE3A","HOPX","IRS1","THSD4","NTM","RAB24","FLNB","ITGA11","LSAMP","HACD4","FAM118A","LRRC32","CCND1","SERTAD4.AS1","CARD16","FOXF1","NBPF1","NREP","KIAA0930","ITGA4","EPHA3","CDC42EP3","RGMA","LEF1","FENDRR","LBH","PDGFC","GRP","ELN","DTX3","CDK6"
"stromal_16","OGN","IGF1","SFRP2","PDGFRL","MGST1","SLIT3","CLU","C7","TSHZ2","STEAP1","SPON1","PRELP","RARRES1","BOC","NFIB","STEAP2","PTGIS","PODN","C3","COLEC12","ABI3BP","SFRP4","CILP","DPT","OLFML2B","PLA2G2A","ZFHX4","IL33","CFD","NT5E","MIR99AHG","PTGDS","CXCL12","TGFB3","CRISPLD1","CRABP2","ANK2","NFIX","GPNMB","CPXM1","SRPX","C16orf89","CTSH","AKR1C3","OAF","COL14A1","SLIT2","MEDAG","TNXB","C1orf54"
"stromal_17","EVA1B","IGHA1","HEBP2","TNFSF12","EBPL","HES4","MSRB2","COPZ2","YPEL3","ECI1","IGLC2","PARL","COMMD3","CNPY2","NDUFA9","LSAMP","RCN2","IGKC","RRAS","GCSH","ARPC4","SSBP4","GGPS1","SH3BP5","UBE2S","CLTB","IGHG4","IGLC3","OAF","C19orf24","PDCD2","MZT2A","EMG1","BICC1","C2","CHPT1","GADD45A","PHLDA3","HEXA","PSIP1","NAA10","HIC1","PSMA1","PLXDC1","RARRES1","LAPTM4B","CTSS","CDC42EP5","MOXD1","WNT2B"
"stromal_18","SHANK3","ARHGEF15","SLC29A1","STAB1","SH2D3C","ARHGAP31","NOS3","GIMAP6","MGAT4A","MCF2L","ADGRG1","MCTP1","SHROOM4","ERG","LAMA5","MYCT1","PREX2","POLR2A","RHOJ","SASH1","MECOM","PIK3C2A","GPR4","RAPGEF5","RAPGEF3","CRYBG3","GIMAP8","PRKCH","PCDH1","EPHB4","TEK","FNBP1L","MPZL2","MBNL2","ABLIM1","APBB2","ELMO1","ADCY4","NIPBL","FRYL","CSGALNACT1","PELI1","HIP1","CHD1","RBMS2","PPP1R12A","FZD4","IPO11","FGD5","PLEKHG1"
"stromal_19","EBPL","HEBP2","EVA1B","CDC42EP5","MSRB2","LYL1","SSBP4","C19orf24","HRAS","LYSMD2","RAB32","UBE2S","TXNL4A","TPGS1","EFHD2","RCN2","NDUFA9","ECI1","EEF1E1","CNPY2","PDCD2","ORAI1","MSRA","C4orf48","EHBP1L1","MARCH2","TNIP2","MZT2A","MCUR1","UBALD2","NME1","CRELD2","MOB4","TOMM40","PGP","PSIP1","PLEKHA3","GCSH","RELB","RRAS","COMMD3","EMG1","LLPH","GIPC1","IGHG4","DNAJC21","HOXD8","APOPT1","ENDOG","SLBP"
"stromal_20","ESM1","UNC5B","NID2","ACE","PREX1","GABRD","FCN3","GNG2","RCAN2","EXOC3L1","HEY1","SIPA1L2","DGKD","TMEM233","CXCR4","DLL4","COL12A1","FLT4","TP53I11","PDGFB","PDGFD","CHST1","LAPTM5","CA2","TNFRSF4","KCNJ2","PLAU","NRCAM","ZNF618","KCNQ1","ANGPT2","KCNN3","GRPEL2","KCNE3","APCDD1","CPNE5","FHL3","KIAA1147","FOLH1","EXOC3L2","CPM","ADAMTS5","SPRY4","ADAMTS7","ANGPTL2","COL27A1","CXCL12","PCDH12","HES4","ADAMTSL2"
"stromal_21","POLR2J3","MED23","CREBZF","UVSSA","TNRC18","SHPRH","NBPF1","RBM12B","PTAR1","ATM","SUGP2","FTX","ZNF518A","GABPB1.AS1","UBN2","PHC3","LTN1","WDR11","PCNX1","PAXBP1","CCDC14","EP300","FMR1","DNAJC16","MON2","RREB1","DMTF1","ZNF37A","AKAP11","ADNP","ZNF91","INO80D","TAF1","RASA1","FAT4","PREPL","FAM98B","SENP7","CASD1","ZDHHC17","GK5","SERINC5","ICE2","UGGT1","SLC35A3","MBD5","UBA6","SLF2","TRPM7","WDR36"
"stromal_22","ITGA2","CD82","MICALL2","KLHL5","KIAA0930","C2CD2","TMEM132A","IL15RA","DCBLD1","MFSD12","MICAL2","ROBO1","COL7A1","RELB","XAF1","SIPA1L1","COL27A1","DRAM1","PIEZO1","BIN1","APOL6","EML1","EPSTI1","SLFN5","PARP14","FAM129B","CYB561","PGS1","UBE2J2","TARSL2","ZDHHC24","IL27RA","CSF1","NSD1","FBXO6","NCOR2","C12orf75","MOV10","TBC1D16","GFER","CRELD2","SSH1","SPATA13","RHBDF2","FADS1","ARFGAP1","IKBKE","TRIO","MRAS","DIXDC1"
"stromal_23","TSPAN15","NID2","GMFG","TNFAIP6","LIMD2","ADAMTS12","POSTN","LCP2","CCDC102B","S1PR3","COL5A3","TDO2","C1QTNF6","PTPRE","GPM6B","AGRN","EGFL6","GPSM3","ECE1","ADAM12","CPXM1","SPRY4","F3","CYGB","CD40","COL15A1","LAMB3","PRR16","OLFML2A","CDH13","ADGRE2","ADAMTS2","ENTPD1","HEYL","LZTS1","ITGA4","CD276","P3H2","AFAP1L2","NES","PLXDC1","MMP11","CHN1","G0S2","PCED1A","TRPV2","UNC5B","ISG20","CSPG4","HEG1"
"stromal_24","PLN","CNN1","ST6GALNAC5","CDC42EP3","VGLL3","CD200","UCHL1","CXCL12","CDH2","ROR2","CYP1B1","ALDH1B1","ATP1B1","FLNC","FAM69A","NBPF14","CLU","CPZ","GATA6","BASP1","PDE4DIP","LOXL1","MMP23B","MFAP5","MYH10","B4GALT4","MAP3K8","C5orf46","SEMA3C","ENAH","COX16","PAWR","GCNT1","CREB3L1","TSPAN2","ELL2","CLMP","ASS1","SSC5D","IL1R1","MEDAG","CPE","LMOD1","TES","NT5E","SEZ6L2","PDIA5","EPAS1","HILPDA","BCAT1"
"stromal_26","MATN2","FBLN1","ADH1B","PDGFRA","CCL11","CXCL12","VCAN","LUM","TCF21","MMP2","MFAP4","DCN","PID1","SPON2","OLFML3","LAMB1","FBLN5","CCL2","TNXB","GPC6","LRP1","CTSK","ADAMTS1","C7","PLPP3","ITIH5","SPRY1","NFIA","SPARCL1","SCN7A","ISLR","PTN","SERPINF1","APOD","ZBTB16","FXYD1","DPT","EFEMP1","PLTP","NDRG2","SVEP1","ANGPTL1","MEG3","FAM198B","CCDC80","PRNP","MXRA5","CLEC11A","NID1","PDK4"
"stromal_27","MYH11","PLN","ACTG2","CNN1","SORBS2","LMOD1","MYLK","KCNMB1","CAV1","CRYAB","PPP1R14A","PDLIM3","NET1","CSRP2","TAGLN","LTBP1","SGCA","MCAM","SLC25A4","NTRK2","MSRB3","FLNA","SORBS1","CSRP1","MAP1B","ACTA2","SPARCL1","ADIRF","IGFBP5","LBH","PDK4","CAV2","LPP","RERGL","TNS1","ACTN1","BCAM","AOC3","CCDC107","PPP1R12B","SYNPO2","CD9","LIMS2","SNCG","PTP4A3","DES","TPM2","PLP2","PALLD","RAMP1"
"stromal_28","C1QTNF3","MFAP5","OGN","TNXB","ADH1B","SFRP2","CFD","DPT","PCOLCE2","ITM2A","GPX3","CLU","MGST1","GPNMB","FBLN2","SCARA5","PI16","PRELP","EFEMP1","SFRP1","FBLN1","PLAC9","C3","SERPINE2","IGFBP6","CXCL12","MMP2","TPPP3","LSP1","CILP","SLIT3","MEG3","CLEC3B","HTRA1","CD34","WISP2","IGHA1","OLFML3","CD248","LUM","EBF1","MMP23B","CADM3","CLTB","F10","MFAP4","CD55","PLPP3","FXYD1","DCN"
"stromal_32","SEMA3G","EFNB2","KCTD12","HEY1","ARL15","MECOM","PLLP","TSPAN2","GFOD1","FAM107A","LMO2","PDCD4","GIMAP1","LTC4S","IFI44L","ELN","PTPRB","GJA5","FBLN2","THSD7A","SOX17","ENPP2","CXCL12","MAST4","LIMCH1","PALMD","GJA4","OCIAD2","IGFBP3","AIF1L","EDN1","BMX","PODXL","LTBP4","TMEM100","JAM2","ASS1","LIMA1","IL33","STMN1","MX1","LEPR","NRN1","CLU","JAG1","ITGB4","SYNJ2","PCMTD1","IFI6","GAS6"
"stromal_34","MMRN1","CCL21","TFF3","LYVE1","AKAP12","EFEMP1","PROX1","LAPTM5","CLU","FLT4","ADD3","PTPRE","PPFIBP1","WFS1","DSP","AKR1C3","FABP4","SLC38A1","NRP2","ARL4A","SEMA6A","DMTN","SCN3B","RHOJ","STMN1","PDE2A","FXYD6","RELN","EDNRB","PLSCR4","GMFG","F8","SPHK1","PGM5","SEMA3A","PPP1R2","FAM213A","NR2F2","TSHZ2","LAYN","RBP1","KBTBD11","PDPN","NR2F1","SMYD2","TNXB","MAF","SNCA","LY96","RAB11FIP1"
"stromal_35","C1QTNF3","COMP","IGFL2","SDC1","COL10A1","CPE","PLPP4","MFAP5","EDIL3","COL11A1","TM4SF1","SFRP2","CYP1B1","EPYC","PDGFRL","RBP4","C5orf46","GJB2","NOX4","ASPN","ITGBL1","CALB2","OMD","MMP11","IGFBP3","NET1","PLN","DSG2","LRRC15","GJA1","SFRP4","CD70","CAPG","ECM2","C1QTNF1","PDGFC","HSD17B6","GALNT15","APOD","RUNX2","PRELP","COLEC12","TPGS1","FNDC1","CD9","CLU","KIAA1217","ADAM12","DIO2","HOPX"
"stromal_37","CA12","CHI3L1","MMP1","COL7A1","ADM","STEAP2","MME","IL7R","STEAP1","GK","HSD11B1","CD82","APOE","WNT5A","G0S2","CXCL5","SLC39A14","SLC16A3","GAS1","DDIT4","LPAR1","SDK1","PTPRN","MMP3","CEBPB","PTGES","TREM1","NAMPT","SEZ6L2","EPAS1","CXCL8","CD68","GFPT2","IRAK3","BCAT1","CXCL6","SLC39A8","FAM20A","TDO2","FAM20C","ANGPTL4","FYN","NDRG1","CSGALNACT1","C11orf96","HCK","TWIST1","MSX2","EVA1A","A4GALT"
"stromal_40","LAPTM5","PTPRC","CD69","RAC2","CD3E","CORO1A","SRGN","IL7R","ARHGDIB","CD52","CD37","CXCR4","CYTIP","FYB1","LTB","TRBC2","CD2","CD3D","KLRB1","UCP2","HCLS1","STK17B","EVL","CD7","SPOCK2","LCK","TAGAP","GMFG","LCP1","CD53","GPSM3","TRAF3IP3","SYTL3","ITGB2","RGS1","RHOH","HCST","CELF2","LIMD2","ACAP1","SKAP1","CD48","FCMR","CD3G","STK4","WAS","EZR","VAMP8","ITK","IKZF1"
"stromal_41","NSG1","HSD17B2","TRPA1","F3","BMP5","EDNRB","CXCL14","SOX6","PPP1R14A","PDGFD","FRZB","PDGFRA","POSTN","BMP4","DMKN","LSP1","FENDRR","TM4SF1","MGLL","GPX3","COL4A5","TMEM119","CAV1","PLAT","GMFG","F2R","MMP2","NRG1","AGT","ADGRL3","APLP2","MFAP4","PTGER2","RGS10","CFD","APOD","KREMEN1","MCTP2","PROCR","ECM1","PTCH1","INSC","TMEM176B","DDHD1","CXCR4","ENHO","TMEM176A","A2M","PTPRE","EMID1"
"stromal_42","IGHG3","C4orf48","ARPC4","IGHG4","CNPY2","MZT2A","XIST","C12orf75","PHGR1","IGLC2","COPZ2","KRT19","CLTB","C6orf48","NME1","NAA10","TFF3","RCN2","MARCKSL1","KRT8","COMMD3","IGLC3","TMEM160","HEBP2","MSRB2","MMP7","SLC39A3","INAFM1","ENAH","PSMA1","CMTM3","EVA1B","COMP","GAS1","CETN2","FAM173A","CKLF","EBPL","C19orf24","GCSH","HEXA","CHCHD10","ADAM12","PDLIM2","PRAF2","ARPC1B","CTHRC1","HTRA1","LOXL1","GJA1"
"stromal_43","CXCL2","MAFF","IER3","KDM6B","ICAM1","CXCL3","ZC3H12A","NAMPT","CXCL8","PLK3","CSRNP1","PIM1","UBE2S","PIM3","TNFAIP3","ATF3","TRIB1","IGLC2","ABL2","PLAUR","PHLDA2","CXCL1","EGR3","NR4A2","REL","NFKBIZ","GPRC5A","BAG3","PFKFB3","KLF4","IGHG4","HES1","DUSP5","TNFRSF12A","ID2","RRAD","IL6","CKS2","KCNQ1OT1","AMD1","GEM","NFATC1","SOCS1","MAP2K3","COTL1","MAP3K8","G0S2","MIDN","PPIF","MARCKSL1"
"stromal_44","POLD4","DNAJC25.GNG10","TMEM35B","RBP7","CLEC3B","WBP1","RAB24","ASS1","IFITM1","DHRS4","FABP4","AIF1L","DLL4","BTNL9","PSMB10","SNAI1","ADGRG1","SH2D3C","COX16","ST6GALNAC3","AKAP2","HIST1H1E","WASHC1","ARAP3","TNFRSF10D","FLT4","GPR4","ADCY4","ARHGAP31","C17orf49","YIF1B","INO80E","PIK3R3","HCLS1","LRRC70","ZGPAT","SDR39U1","SMARCE1","RAPGEF3","MYO1E","HLA.DRB5","FCN3","PTP4A3","TNXB","HAUS4","TIMM23","TAF1C","EFNB1","FKBP1C","IL18BP"
"stromal_45","ACKR1","IL33","CLU","POSTN","SELP","ZNF385D","CCL14","C7","LPCAT4","FBLN2","IL1R1","HLA.DRB5","MMRN1","HLA.DQA1","TPD52L1","TGFBR3","LRRC1","TLL1","TFPI","RAB3C","HAPLN3","HLA.DQB1","MEOX1","AKAP12","CTSC","OLFM1","ADGRG6","PDIA5","CYP1B1","SERPING1","EPB41L3","AKR1C3","PLSCR4","PLAC9","RALGAPA2","UGCG","HLA.DMA","LIFR","DOC2B","PLCB4","PLA1A","MYOF","MMP28","PERP","CLEC3B","IL6","C1QTNF1","MAP3K8","TIAM1","EVA1C"
"stromal_48","KRT8","ENO2","AK4","CPE","CDCP1","KRT18","VEGFA","EGLN3","BNIP3","NT5E","KRT19","SLC16A3","TM4SF1","SLC2A1","CA12","C5orf46","ATP1B1","TSTD1","CA9","NDRG1","IGFL2","CXCL12","GAS6","DSC3","GJA1","GJB2","PTGIS","CALB2","ERO1A","CMIP","SEZ6L2","SLC12A8","DSG2","VAMP8","SLC38A5","CD68","SLC16A1","ALDOC","WDR54","HILPDA","DSP","GBE1","SPOCK1","CDC42EP3","EDIL3","PFKP","OCIAD2","PTGES","BCAT1","PLN"
"stromal_49","APOD","RBP4","SFRP4","IGFBP3","PRELP","COL10A1","ITGBL1","CST1","CST2","LAMP5","CXCL14","PLA1A","MATN3","DIO2","CDKN2B","COMP","SLC6A6","ALDH1A3","NOX4","HOPX","MFAP5","FRZB","JAG1","ENTPD1","ANKH","ENC1","HMCN1","PRICKLE1","SEMA3C","NINJ2","FOXS1","TSPAN2","SLC12A8","SFRP2","SYNPO2","MMP28","DPEP1","ASPN","SGMS2","PTGIS","HHIP","FNDC1","EDNRA","BHLHE41","UCHL1","LEF1","CDC42EP3","PTCH2","HEYL","RABGAP1L"
"stromal_54","NSG1","PPP1R14A","WNT2","SOX6","IL7R","MEST","TSPAN33","CST1","EMID1","AGT","F2RL2","SEMA4D","WNT4","TNFSF11","HSD17B2","INSC","MME","CTSH","GPC4","THBD","NCAM1","ITIH5","CXCR4","ADAMTS9","TGM2","DLL1","WNT5B","EDIL3","MYO10","WNT5A","BMP5","PITX1","PDGFD","PDGFC","DIO2","LEF1","FOXL1","COL4A5","ACTG2","TRPA1","PDZD2","PAG1","MRVI1","GMFG","LSP1","THSD4","ADGRL3","IGFBP3","DDHD1","BMP4"
"stromal_55","MMP1","CXCL5","MMP3","CXCL8","COL7A1","GK","CA12","CHI3L1","IL11","STEAP1","STC1","WNT5A","CXCL1","ANGPTL4","CXCL6","MME","CXCL3","PTGES","IL24","PTGS1","TMEM132A","IL7R","STEAP2","G0S2","HSD11B1","MGST1","PID1","TREM1","LPAR1","TNC","GLIS3","ADM","SLC16A3","CEMIP","CDCP1","ASPHD1","TNFRSF11B","AHR","IL6","ASS1","ACSL4","TRPA1","FGF7","CD68","HMGA1","BNIP3","TMEM158","SMOX","GFPT2","DDIT4"
"stromal_56","INTS6","BOD1L1","ARID1B","GLS","CREBRF","DGKH","KMT2A","SYNE1","DICER1","MED13L","BPTF","ZFHX3","ZNF292","CEP350","FTX","AKT3","UBE2S","JUND","RAB21","VPS13C","SMG1","IGHA2","CEBPB","IGLC2","KANSL1","PURA","MLLT6","KIDINS220","ARHGAP5","ANKRD11","RBM6","PJA2","KLF13","SYNE2","HNRNPH1","IGHA1","MDM4","KAT6A","YPEL3","KMT2C","YAP1","MAP3K2","EP300","PHC2","NKTR","ITPRIPL2","UBR5","SLK","ZNF638","PUM1"
"stromal_58","SRGN","PTPRC","CD52","LAPTM5","ARHGDIB","CORO1A","RGS1","CD3D","CXCR4","HCST","CD69","RAC2","CD37","CD3E","GMFG","CCL5","LCP1","TRBC2","CD7","CYTIP","FYB1","SAMSN1","CCL4","CD2","LCK","CD53","ALOX5AP","NKG7","STK17B","CD3G","VAMP8","TNFAIP3","CST7","ACAP1","ISG20","HCLS1","GZMA","RHOH","EVL","LTB","HLA.DRB1","STK4","SLA","TRAC","GPSM3","EZR","HLA.DRA","TBC1D10C","HLA.DPA1","IKZF3"
"stromal_59","ACKR1","SELP","NR2F2","IL1R1","CPE","ADGRG6","POSTN","RAB3C","CLU","MMRN1","IL33","ZNF385D","SELE","EPB41L3","LRRC1","HAPLN3","CYP1B1","PTGDS","PLA1A","LHX6","SESN3","TLL1","VCAM1","CEBPD","FOXC1","PTAFR","MADCAM1","FAM84B","FAM171A1","FBLN2","PERP","CSF2RB","TFPI","VEGFC","SELL","MEOX2","MEOX1","SYT15","DIXDC1","TGFBR3","BNC2","CCDC69","CCL14","CNKSR3","ADAMTS18","MATN2","RASSF9","LTC4S","FAM155A","OLFM1"
"stromal_61","CD36","SLC14A1","NKX2.3","CA4","ACE","IGFBP6","PLAU","ATOH8","RND1","RBP5","EXOC3L2","BAALC","ZNF503","IGFBP2","PLAT","TRIB1","PDE1C","LIFR","FAM110D","JCHAIN","OSBPL1A","PPP1R14A","UNC5B","RBP7","BTNL9","PRDM1","SELENBP1","ITGB5","PASK","IDO1","MYLIP","HIF3A","PHGR1","FOXF1","CHCHD7","ENPP2","SMYD4","CABP1","INHBB","CEBPD","TMEM47","LNX1","CEBPB","GPRC5B","FHL1","CX3CL1","ABCG1","VAMP8","RCAN2","CCND1"
